Description,VoteCount,Rating,Year,Title
"Called for a job interview, four candidates go through a dark, mysterious, brutal test to get the job.",1400.0,8.1,2021,271. Metot
Tell the story of two young people who turn a new page in their lives after an accidental encounter in a funny way.,325.0,5.1,2021,272. Kazara Aşk
Shakespeare's darkest tragedy in a modern retelling of family betrayal and horse carriages.,434.0,6.8,2021,273. Hamlet
Turkish television series about Turkish Cypriots and the period before the Operation of Cyprus. The published trailers also shows about the activities of pro-Enosis Greeks in the series.,580.0,7.3,2021–2022,274. Bir Zamanlar Kibris
"While the dirty secrets of the two families are revealed one by one, the love of Kadir and Ayliz has to pass this test.",347.0,4.9,2021,275. Seni Çok Bekledim
"Going on an indescribable love journey, will Firat be able to give a ""lesson of love"" to Mr. Doctor Love? Or will he be hunted while he goes hunting?",412.0,5.0,2021,276. Askin Tarifi
"Epic stories of historical heroes who became legendary with their struggles are on TRT Documentary with ""Legends of History"".",35.0,7.6,2021–2022,277. Tarihin Efsaneleri
"They become a part to a crime and fall for each other again. What are they going to do now? ""Wild Things"" questions the anatomy of marriage getting lost in the action and comedy.",429.0,4.8,2021–,278. Vahsi Seyler
"The dreams of Hasan Can Kaya, who lives with his low-income family in Güngören district of Istanbul and wants to become a comedian one day, are mixed with the realities of life.",2400.0,5.2,2021,279. Bir Yeraltı Sit-Com'u
"The ""trade"" that a group of young people trying to hold on to university life who came together despite class divisions started to help their friends, turns into a much larger organization.",167.0,3.2,2021,280. Hiç
"A story full of competition, revenge, love and determination, telling about women's inequality of opportunity in social life.",861.0,5.8,2021,281. Cam Tavanlar
Ex-lovers meet in a cafe after their relationship ended for some reason or ended in disappointment. Cafe is the scene of completely different events in every episode.,146.0,5.9,2021,282. Ex Askim
"Deniz is an idiosyncratic, stubborn and passionate woman. She followed her dreams and opened a cafe called Bonkis instead of doing her architectural profession, but her rosy dreams did not match the reality. Struggling to survive economically, Deniz struggles with the complex life of her family on the one hand.",891.0,6.7,2021–2022,283. Bonkis
"The rise of a 17-year-old star who has strong feelings and is a dreamer and different from everyone else. Her greatest talent is her voice, but she's afraid to perform. How will Aleyna and Cemal Can manage to overcome the obstacles they encounter?",9600.0,1.2,2021,284. İşte Bu Benim Masalım
"The religious fight of Hace Ahmed Yesevi, a Turkic poet and Sufi, who was sent to Baghdad by Yusuf Hemedani for the truth.",409.0,6.7,2021,285. Mavera: Hace Ahmed Yesevi
"Elif Karaca is the creator of the program ""Don't Be Silent with Elif Karaca"", which Turkey follows with interest. Elif has dedicated her life to fighting the injustices and evils she has witnessed since her childhood. Murder Bureau commissioner Ömer, just like Elif, has struggled with bad guys, criminals and criminals throughout his life.",79.0,5.2,2021,286. Sana Söz
"What kind of life would Ibrahim Büyükak have if he did not pursue his dreams and continued to stay with his family in Bursa? Abandoned by his fiancee and living with his family, 35-year-old Ibrahim will go his own way?",996.0,6.7,2021–,287. Ilginç Bazi Olaylar
A therapist begins to suspect his clients after the murder of his wife.,1100.0,7.2,2021,288. Terapist
A story about a young female psychologist who once had a beautiful family and a young male police officer. They met and decided to solve cases together.,960.0,6.8,2021,289. Baş Belası
Handan believes that the only way to achieve her dreams is to make the right marriage. The biggest obstacle on this path is her 3 children. Handan's life changes when her path crosses with a mysterious couple.,224.0,4.5,2021–2022,290. Annemizi Saklarken
"The life of Sadik, who lives an ordinary life with his children, will change in a way he could not imagine when he met Betüs.",725.0,1.3,2021–,291. Sihirli Annem
"In the TV series The Secret of Two, a poor and lonely mother with a beautiful 7-year-old daughter; He will tell about the marriage he made with a wealthy businessman whose mother is sick.",300.0,6.5,2021,292. İkimizin Sırrı
"The plot is on the dinner of a school teacher with the father of one of the students. However, the gallant dinner ends very sadly for both sides. The young teacher is trying to bring to justice the man who did the horrible thing to her.",384.0,7.2,2021,293. Yalanci
Dangerous lives of firefighters who are faced with difficult situations.,125.0,6.0,2021,294. Kahraman Babam
"Based on the Australian series Mistresses, the series follows the story of a group of four female friends who embark on an adventurous and scandalous journey and finds different ways to deal with complex relationships.",206.0,6.0,2021,295. Yalancılar ve Mumları
"Seats are turning for ""rap"" this time. You will witness both the best performances and the stories of how the contestants started rap music.",125.0,4.1,2021–2023,296. O Ses Türkiye Rap
"Esma is a beautiful, ambitious and strong woman who is the second boss of her father's law firm. Filiz is a stubborn but fragile lawyer candidate. One murder will cross the paths of these two different women. But how?",1400.0,7.0,2021,297. Hükümsüz
"The earthquake in Demirkan Mansion that night shakes all the stones in Umay's life. For Umay, who has endured the cruelty of her husband Affan for years for her children, this event was the last straw. She takes her children and leaves the house.",99.0,6.4,2021,298. Uzak Sehrin Masali
"A Turk and an Irishman; It is normal for young lovers to fall in love with a Muslim and a Christian. But not for Adam's father, who is a priest, and not for Havva's father, who is a Muslim pilgrim.",179.0,4.5,2021,299. Içimizden Biri
Survivor 2021 is the fifteenth upcoming season of the Survivor to air in Turkey.,96.0,4.4,2021,300. Survivor 2021
"In 1939, a town in the coal city of Zonguldak, a disaster occurs in the mine due to the neglect of the boss. While fighting for this cause, Davut will fall in love with his cruel boss's daughter.",269.0,5.9,2021–2022,301. Kanunsuz Topraklar
"Time is a science fiction that questions the world we live in and the universe we live in. What if all those things we didn't choose continue to live in another reality? Meeting on the same day, at the same time, in three different stories, Sedat and Mina face completely different lives that they did not choose in their parallel universe.",262.0,6.0,2021,302. Senkron
"""Eee Sonra?"" is a Youtube series, each episode of which is approximately eight minutes long, about tactics in male-female relationships.",212.0,6.6,2021,303. Eee Sonra?
"Fighting for her dreams, Ezo has two things to hold on to in this life; memories and what's left of her mother - So a handful of hope. However, everything he has in his hand is taken away at once by his family, to whom he is persecuted. Ezo has two ways. He will either give up or fight.",342.0,4.3,2021–2022,304. Elkizi
"The beginning of Semih and Selin's relationship, the problems they experienced, their separation, and their dating are discussed with the presentation of two football commentators.",277.0,6.8,2021–2022,305. Orta Kafa Ask
"Talk show is talk show. Uncle, the youngest of the puppets, is coming with his own live talk show - Crazy fun with famous guests and Pandami Music. Whether you watch it live or when you feel like it.",166.0,7.9,2021–,306. Dayi Show
"Zeynep is a 20-year-old college student with dreams, but she has to work as a babysitter to cover her school expenses. She should also hide that she is a student while caring for 6 children",558.0,2.0,2021,307. Yetis Zeynep
Famous names are being scrutinized from head to toe. The latest trends meet with the audience for the first time.,18.0,2.6,2021,308. Stiller Konussun
"Sinem dies in a terrorist attack in Istanbul. With the news of Sinem's death, his lover Sinan, who started to break with life and reality day by day, must return to the line that separates him from Sinem and save Sinem.",329.0,5.7,2021,309. Bizi Ayiran Çizgi
"Deciding to live life now, three dreamers decide to open a cafe with a small white-collar capital. But this adventure will not go as they expected; because none of them have the slightest experience of running a cafe and this job will be a little more difficult than they anticipated.",196.0,5.0,2021,310. Adim Basi Kafe
"Ferda, who kidnapped the screenwriter of her favorite TV series, starts to write new episodes instead of him.",95.0,6.0,2021–2022,311. Fandom
,0.0,,2021,312. Hayalimdeki Dügün
"""Orhan Aksoy, the ""Shooter Killer"" Süleyman Aktas, who is remembered as ""Orhan Aksoy"", ""The Kolici Killer"" ""Çumra Canav"" Abdullah Aksoy as ""Çumra Canav"" and the death hunter, the life of Hamdipinar as the prey he killed, the life of Hamdipinar as the inside. 's, ""life from the rock, drink."" , committing a crime and motivation are discussed.",150.0,8.0,2021,313. Türkiye'deki Seri Katiller
"A perfect family who lives a happy life that everyone is envious of. But one misunderstanding was enough to ruin their lives, and now they have to risk everything.",217.0,5.8,2021,314. Kagit Ev
The healing processes of animals struggling with diseases are explained.,29.0,7.0,2021,315. Tugay Inanoglu ve Dostlari
"Four university students from different parts of the country begin to live together and as they go through the hurdles of love and life, they turn into best friends that support each other through thick and thin.",2800.0,3.3,2021,316. Ögrenci Evi
"11 Turkish Kickboxers selected after long eliminations share the same house for 60 days. They cook their own meals and take care of the housework themselves. In this atmosphere, there is a fierce struggle for the championship in the tough tests.",48.0,6.6,2021,317. Fight Club
Broken Lives' story is about how much two young people can sacrifice for their love and how far a mother can go to leave everything behind for power and prosperity in Kocabey Mansion.,31.0,6.1,2021–2022,318. Kirik Hayatlar
"Hayat, who came to Istanbul with her father Ökkes for her dreams, participates in the fashion competition of Harisoglu Holding. Holding owner Yilmaz finds himself in a circle of revenge when his father's old enemy turns up. Yilmaz's unexpected marriage proposal, who wants to be a big family, will have a bomb effect on everyone.",128.0,4.6,2021,319. Benim Hayatim
"Thrilling and action-packed missions, changing concepts in each episode, and a breathtaking chase. Who will win the prize?",230.0,2.6,2021,320. Kaçis
"Screenwriter, academician, cartoonist, award-winning actor - This universe has them all. A real ""Stand-Up Universe"" emerges when stand-up comedians who tell their stories in the time allotted to them are accompanied by independent sketches by talented actors.",126.0,5.9,2021,321. Stand Up Evreni
"The story of the advertising agency employees and their confused president trying to cope with the capricious customers, troubled celebrities and the crises they face every day.",746.0,7.1,2021,322. Acans
"Enis Arikan, who appeared in front of the audience with a talk show for the first time, welcomes his famous guests and asks what was not asked before.",123.0,3.8,2021,323. @Enis Arikan
The struggle of a modern hero who takes his roots in Ottoman history and protects his city and its people at the cost of his life.,1300.0,2.3,2021,324. Akinci
Talk-show with funny games.,136.0,8.0,2021,325. Oyunlar Holding
,44.0,2.3,2021,326. Kolej Rüyası: Lise Günlükleri
"What would you do if the last wish of your beloved family member before he dies is ""marry a girl who gets up early, appreciates the old one and looks like a honey badger""? The interesting journey of this unique testament finds answers in the World State series.",112.0,6.5,2021,327. Dünya Hali
Zeynep Bastik invites both them and the audience to a musical feast at home with special surprises for its guests.,379.0,1.9,2021,328. Zeynep Bastik ve Konuklari
"The lives of Birce, who was born and raised in a town, and Birol, a technology addicted child raised in the city, intersect on a farm. These two form a super powered team to stop the Hypocrite's army. The members of the team include a bear, a robot, and a chicken.",26.0,5.3,2021,329. Süper Bir Takim
"Yasin Gencer is a peddler selling chickpeas between Taksim and Tepebasi. He lives with his beloved Çigdem, on the edge of opening the restaurant they have planned for a long time, and is at the very end of marketing his pilaf, which everyone loves with his special recipe from his grandfather, to a wider audience and to meet their dreams.",66.0,6.5,2021,330. Seyyar
"Can you turn up your conscience for every event you turn your head on, for every life you ignore, for every emotion you haven't noticed in yourself?",179.0,3.1,2021,331. Katarsis
"They are resourceful, talented and just beginning the way. The owners of the Masterchef studio this time are the little chefs - The jury members' job has never been so difficult.",33.0,4.0,2021,332. MasterChef Junior
"The Black Queen and her new sidekick, Kali, start missing all their muses. Nese, Can, Asli, Akin and Bora embarks on an adventure to find muse at the call of the King of Fairy Tale. This is what they came out of Have a breathtaking journey to find the master of magic items Pastaci who will help them on their journey. they get into the struggle.",44.0,5.3,2021–,333. Masal Satosu: Peri Hirsizi
"How are we going to lift the veiled sheets of the word remember this season? Of course,remember your name,your life, everything that belongs to you, but how will you remember who you are? Eren is a valet at a bar. One day he gets into an accident with a customer's car, which he kidnaps to take him for a ride.",90.0,8.9,2021,334. The Cruise
"An absurd get together bewtween Okan, Nil Burak, a popular Turkish historian and an actor all of who end up meeting a Dane who is accepted by all as Soren Kierkegard. The mystery deepens with sinister undertones and a murder.",137.0,6.3,2021,335. Renkli Rüyalar Oteli
,22.0,6.5,2021–,336. Sarkilar Bizi Söyler
"Ali Bicim and Mesutcan Tomay are looking for new ""Youtubers"". Will the ""Youtuber"" candidates, whom the two will give various tasks, be able to pass these challenging stages?",70.0,5.4,2021,337. O Adam Oldun Mu?
Famous illusion artists Kivanç and Burak are doing interesting experiments and illusion shows this time with their famous guests.,67.0,7.9,2021,338. Akil Oyunlari
Survivor's strongest names are facing each other. Adrenaline and ambition skyrocket in the fierce struggle of the best competitors.,181.0,1.7,2021,339. Survivor Exxen Cup
"Ghasaq captures the intense situation in the cities of Misurata and Tripoli from September 2014 to December 2016, the date when Giza, the last stronghold of ISIS in Sirte was liberated. Ghasaq narrates the struggle and unification of the Libyan people from all ages and backgrounds in their fight against extremism and terrorism, eventually becoming victorious after the sacrifice of hundreds of martyrs.",72.0,8.7,2021,340. Ghasaq
,18.0,7.2,2021,341. Girift
"After many years of acting in theaters, Gül, who returned to the neighborhood where her childhood passed, meets the children playing in the park in front of the theater left by her father. These talented children and Gül start to write fun sketches together.",29.0,4.0,2021,342. Sesli Güldüm
6 famous youtubers try to get likes from 6 women. The one with the most likes will be the winner.,129.0,1.2,2021,343. Bulusma
,0.0,,2021–,344. Karantina
,62.0,5.9,2021–2022,345. Arabeskin Asik Kadinlari
These 3 buddies can appear anywhere at any time and challenge each other with fun challenges at any time. Let's see if they can practice jokes or settle for their punishment.,14.0,4.6,2021,346. Rol Kes
"Working at the advertising agency, Cem meets Sinem who is new to the office. Even though his friends give tactics, things do not go as his wish. Meanwhile, gossip of the first day is made in Sinem's message group.",116.0,6.9,2021,347. Özelden Yürüyenler
"Two children named Cocoa and Milk are chosen by the world of happiness to use the powers of goodness. Their duty is to stop Kötüka and Karaka, who want to enter the minds of children and spread a sense of evil.",0.0,,2021,348. Kakao Ve Süt
"If you think you are a good stalker, think after watching this team. The person who is ""stalked"" is studied in the most detail, at the end of the day he is confronted with his ""stalkers"". It is not that easy to win in this competition.",30.0,2.8,2021,349. Stalk Show
"A mother seeking a solution to her daughter's incurable illness embarks on a search for healing, from yoga to shaman rituals, from leech therapy to abstinent nourishment. You will witness both this adventure and the opinions of the experts in the spill-drama of the real life story adapted from Ela Safak Atakan's book of the same name.",68.0,6.7,2021,350. Bir Sifa Bagimlisinin Itiraflari
,15.0,4.8,2021,351. Benim Için Yap
"Turkey's only animated cartoon aimed at adults Ozcan Show, each week a different topic is discussed with the unique fun style. Ozcan Show keeps the pulse of the agenda, magazine, sports and television world.",59.0,5.8,2021,352. Özcan Show
Orkun Isitmak comes together with people with extraordinary traits and examines them deeply to find answers to whether these traits are actually an advantage or a disadvantage.,16.0,4.2,2021,353. Sansli mi Sanssiz mi?
"Karsu, who was deemed worthy of many awards in the world music arena, welcomes her guests at home in her program and embarks on a journey that includes music, taste and games.",13.0,5.5,2021,354. Karsu'nun Odasi
,10.0,2.2,2021–,355. Sabahin Sultani Seda Sayan
,0.0,,2021–,356. 64 Bars
"This documentary traverses the streets of Istanbul, revealing the multicultural nature of the city and how it witnessed history.",35.0,5.0,2021,357. Cadde Cadde Istanbul
,6.0,6.8,2021,358. Industry of Evil
"You will find both traditional and healthy versions of flavors. Can a meal be both ""healthy"" and ""cheat""?",0.0,,2021,359. Saglikli Kaçamak
Music performances by jazz artists.,0.0,,2021–,360. Türk Caz Standartlari Enstitüsü
Delinked from their native country and knows very well Turkish 4 Are you ready to roam from city to city in Turkey with foreign caravan?,33.0,5.3,2021,361. Buralarin Yabancisiyiz
"Would you like to witness moments when a dream comes true? Well, how about making your loved ones' dreams come true today? Get ready for Acun Ilicali's surprises.",26.0,4.0,2021,362. Sürprizimiz Var
,0.0,,2021,363. Arti
A series with Gönül Pacaci Tuncay and Suleyman Seyfi Ogun in the artistic and historical light of Turkish music.,0.0,,2021–,364. Karar Perdesi
"Karagümrük Neighborhood. It is about how Karagümrük, which was once one of the most precious regions of Istanbul, has changed socially, economically and culturally over the years. In the documentary, we witness the dreams and realities of the locals first hand.",39.0,4.3,2021,365. Karagümrük
,0.0,,2021,366. Bizim Köyün Kizlari
"Legendary footballers take to the field for ""Foot Tennis"" matches. Who will be the champion after the fierce struggles?",17.0,3.6,2021,367. Ayak Tenis
,0.0,,2021,368. Tosun
,0.0,,2021,369. Kustof
"Entrust yourself to expert doctor staff and beauticians who have achieved numerous successes in their fields. Are you ready to be the best of your age, thanks to the magnificent energy of Kemal Dogulu and the skillful hands of his doctor and aesthetic team?",9.0,3.2,2021,370. Büyük Degisim
"The two CG pilots, who were raised alongside the CG engine master Kemal Usta in Tarsus and whose reputation spread throughout Anatolia, prepare for the extraordinary race on the cousin highway. We embark on a journey deep into the CG world in the Taurus.",25.0,6.5,2021,371. Beni Kendimden Koru
"A legendary team that still holds the record for wins, points and goals in the history of the Super League. The story of Fenerbahçe's unforgettable 1988-89 season - In this 4-part documentary, the heroes of success tell about those days themselves.",70.0,8.0,2021,372. 103 Gol
"Here, words lose their importance, gestures and body language betray the celebrities - Orkun Isitmak reveals one by one the facts about his famous guests.",38.0,2.7,2021,373. Kirli Çamasirlar
"Dream cars, detailed reviews, breathtaking challenges and pleasant conversations. Every detail has been considered for car enthusiasts.",26.0,5.2,2021,374. Garaj
"Somer Sivrioglu is visiting 5 of our country's successful entrepreneurial women, whose paths crossed with the ""My Sister Project"", in their own cities. This documentary, besides the success stories of magnificent women; Despite all the negativities experienced, it also sheds a light on the sources of motivation that never run out.",0.0,,2021,375. Iste Kadinlar
They applied to the world's toughest competition. How are they preparing for the great challenge? What tests do they go through to be a contestant in Survivor? This program reveals the behind the scenes of Survivor.,31.0,3.1,2021,376. Survivor Seçmeler
,0.0,,2021,377. Tiyatro Zamani
12 contestants are trying to impress Gürkan Sef by showing their skills in the barbecue. Competitors have to make the right planning and combine their skills and knowledge in order to prepare the menu that Gürkan Chef wants from them in 30 minutes.,9.0,5.0,2021,378. Gürkan Sef Ile Ates Oyunlari
,32.0,4.3,2021,379. Zatonya
The first Turkish-produced weekly YouTube show in English that's dedicated to Turkish entertainment and celebrity news,0.0,,2021–,380. What's Up Türkiye
These stories are as real as they are tragicomic. Volkan Oge reveals lived and absurd stories with his guests.,35.0,5.5,2021,381. Kesin Yasanmistir
,0.0,,2021,382. 6.45 Yayinevi'nde Standart Bir Gün
Omer Sanli begins to visit extraordinary houses with different characteristics and meet their architects.,24.0,4.6,2021,383. Tasarim Evler
,0.0,,2021–,384. Zahide Yetis ile Mutfak Bahane
,0.0,,2021,385. Iyi Bayramlar
,0.0,,2021–,386. HarunFe
,0.0,,2021–2022,387. Konusmamiz Lazim
,0.0,,2021,388. Likya Yolu
,0.0,,2021,389. Operasyon 41
,19.0,1.9,2021–2022,390. 2021-2022 Süper Lig
,0.0,,2021,391. Insert Can
"In each episode, an expert athlete brings you together with the adrenaline-filled nature of extreme sports.",7.0,3.7,2021,392. No Limit
"To realize the dream, one step away from the sea, in the south of Turkey, among olive forests, the farmhouse, an old olive oil factory where time really stands still, is the perfect fit. Tables are prepared, where delicious dishes prepared with appetizing local products turn into a magnificent feast.",6.0,7.0,2021–2023,393. Büyük Tikinma
,0.0,,2021,394. Star Market
,0.0,,2021–,395. Bilalfa
,0.0,,2021–,396. En Hamarat Benim
,62.0,1.6,2021–,397. Teras Noir
"Welcome to Yesilçam 101. Sokopop Memory Rescue Team prepared an accelerated Yesilçam curriculum for you. These three basic courses you will attend with distance education then you will be ready to shoot your own movie in the Yesilçam universe. Your feather pens and scented If your erasers are ready, our lesson begins.",48.0,7.9,2021,398. Sokopop: Yesilçam 101
,19.0,5.2,2021,399. Duraktan Duraga
,0.0,,2021,400. Deli Dolu Masa
The dusty pages of history are opened with Oguzhan Ugur's colorful narrative.,56.0,6.5,2021,401. Dün Dündür
,0.0,,2021,402. Raif Akyuz ile Sanatci
"The lucky and successful debut and life of Tarkan, one of the best names in pop music by far, who achieved an unprecedented success in the borders of the country, is with you through the lens of Sokopop.",45.0,8.5,2021,403. Sokopop Portreler: Megastar Tarkan
,0.0,,2021,404. Benzemez Kimse Bize
"A series about traditional houses which were built from the light of culture, geography and society is examined. The history, materials and interiors of houses from various parts of the world will be shed light on.",0.0,,2021,405. Geleneksel Evler
All your curiosities about astrology and more will be discussed in this program.,8.0,3.6,2021,406. Astrolojik Sifreler
,0.0,,2021,407. Kuzeyin Oglu Volkan Konak
It is an archival documentary that tells about the construction process and stories as a residential style imported from Europe instead of wooden buildings that burned down in the 1870 Beyoglu fire.,26.0,6.9,2021,408. Istanbul Apartmanlari
,0.0,,2021–,409. Intel Monsters Reloaded UTM CS: GO Ligi
Unique visits to showcase the rarely seen environments of several international designers and artists where they work and create.,0.0,,2021–,410. Studio Visits
,0.0,,2021,411. Paylas Benimle
,0.0,,2021–,412. Kukuli Spanish
,29.0,6.8,2021,413. Electro Monolog
,0.0,,2021,414. Al Sana Haber
Searching for a photograph in different locations. Every single photograph has a special meaning.,0.0,,2021,415. Bir Kare Bir Anlam
"Geography, people and culture - In this program, culture is examined through the geography-human relationship.",0.0,,2021,416. Cografyadan Kültüre Bag
,0.0,,2021,417. Ah Sanal Dünya
"Istanbul's districts, places, historical figures and hidden stories - A special journey accompanied by the author Mario Levi",0.0,,2021,418. Muhayyelat
,0.0,,2021,419. Kaçacagim
,0.0,,2021,420. Iyiler Kötüler Futbolcular
"An application that no one admits to watching but can't give up: TikTok. This world, in which even its phenomena have stepped into fear, has now identified with the Z generation and gave a generation the opportunity to make its voice heard. Not only that, this app has already managed to create its own generation.",26.0,4.1,2021,421. T Kusagi
,0.0,,2021,422. Filtresiz
"Losing weight is not easy for a chef who cooks so well. Will the famous chef Turev Uludag, weighing 161 kilograms, manage to drop to 99 kilograms in a few months?",18.0,3.3,2021,423. Nasil Zayiflarim?
,0.0,,2021–,424. Dilsiz Yüregim
,0.0,,2021–,425. Teve2 Magazin Masasi
Natural born stars teach others to become a star.,0.0,,2021,426. Yildiz Doganlar
BI HABER YALOVA PROGRAM IS ASSESSING THE YALOVA AGENDA WITH MODERATOR EMRE KARAOGLU.,0.0,,2021,427. Bi Haber Yalova
"Mehmet Onder and his guests examine various works, genres and themes from Classical Turkish literature.",0.0,,2021,428. Bizim Edebiyatimiz
,0.0,,2021–,429. Daniska Show
"Different cities, different cultures and different tastes - A gastronomic journey through Anatolia with Chef Sinem Capraz",0.0,,2021,430. Sinem Capraz ile Lezzet Atlasi
,0.0,,2021,431. Armoni: TRT Müzik
,0.0,,2021,432. Basaksehir Tarihini Sen Yaz
"Architecture and more - Sociological background, meaning of structures, architectural approaches and the special world of architecture are subjects of this program.",0.0,,2021,433. Esik
"We take a look at the worlds of artists who have lost their ability to hear and speak, from birth or later, and examine their artistic work.",0.0,,2021,434. Sessizce
,0.0,,2021–,435. 81 Reasons to Fall in Love with Turkey
,0.0,,2021–2022,436. 2021-2022 TFF 1. Lig
,0.0,,2021–,437. Turkey Bucket List
"The program presented by Cem Behar and Onur Oner hosts researchers/authors, academics and musicians with different perspectives on Istanbul's music history.",0.0,,2021,"438. Istanbul, Müzik ve Tarih"
"""Çile Bülbülüm"" is a mini-documentary series about the difficulties experienced by a group of music people who earn their living with music and try to make a living in various cities of Turkey.",18.0,4.6,2021,439. Çile Bülbülüm
See how a choreography is prepared step by step with talented dancers and you will find everything about dance in this program.,13.0,5.8,2021,440. Grj Dans
,0.0,,2021,441. Yeni Sahne: TRT Muzik
"""I'm Göktan Eker Sometimes finding a bomb that will explode - Catching Poison Merchants - Sometimes he was a fleeing criminal to neutralize - Saving a person in danger - Sometimes I train staff to protect a little boy. "" I do all this by listening to and understanding dogs.",0.0,,2021,442. Birim K9
"Wedding, the new generation entertainments from all over the country, with interesting customs and going far beyond the customs, is here.",0.0,,2021–2023,443. Dügün
"In a format that is a first in the world, the audience will witness the sound production process performed by 3 performance artists of 8 different plays written by 6 of the most important contemporary writers of Turkish theatre.",72.0,6.0,2021,444. Podacto Stüdyo
"Due to circumstances, Serkan and Eda will have to pretend to be engaged. Comedy begins. And romance?",15000.0,7.3,2020–2021,445. Sen Çal Kapimi
"In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she'll have a reason to stay in town with them.",17000.0,7.4,2020–2021,446. Aşk 101
"Asya is a successful doctor who has the perfect life with her husband and son. But after she finds a blonde hair on her husband's scarf, she discovers his extramarital affair and everything changes.",2400.0,6.5,2020–2022,447. Sadakatsiz
The series will focus on the conflict between the two families and a great love that will flourish between this struggle.,2400.0,7.0,2020–2021,448. Ramo
"A group of unique characters from dramatically different socio-cultural backgrounds meeting in startling circumstances in the vibrant and colorful city of Istanbul, - some by chance and some by force of will.",29000.0,8.5,2020,449. Bir Baskadir
"At a talent agency in Istanbul, agents scramble to keep their star clients happy and their business afloat. The agents will juggle one situation to another in circumstances that blend their personal and professional lives.",2100.0,7.2,2020–2021,450. Menajerimi Ara
"Firuze and Ayaz. Two beautiful heart, two family carrying children overhead. Fate brought them together. Her father's unjust conviction in the elevator accident that killed thirteen people triggered Firuze. Carrying the responsibility of being the man of the house, Ayaz is faced with Firuze, which he sacrificed for his mother when he was about to marry another.",1900.0,7.1,2020,451. Zemheri
"Saygi is spin off series of ""Behzat C"". The path of Ercüment, who seeks the solution of the corruption in the society by providing his own justice, will intersect with the two young people, who he believes act with the same purpose.",3800.0,7.5,2020–,452. Saygı
"Ali Riza is a taxi driver preparing to marry his sister Nihan off to his dear friend; Halide Gurkan attends Fuat Ersoylu's magnificent party given on the occasion of his father's birthday and during the party Fuat's son Burak proposes to Halide, who refuses, then leaves the party and gets into Ali Riza's taxi.",1600.0,6.3,2020–2021,453. Ariza
Two detectives try to unravel the mystery of the murders that followed the discovery of a body in the Bosphorus.,8600.0,7.9,2020–2022,454. Alef
"The drama series follows the story of a mother and her young daughter, Serra, as they try to get used to their new life in an ordinary neighborhood after falling from grace.",2200.0,6.8,2020–2021,455. Sol Yanım
"Yarım Kalan Aşklar tells the story of Ozan, who died after a traffic accident and returned to the world in the body of a surprised person.",2800.0,7.6,2020,456. Yarım Kalan Aşklar
"Wealthy restaurant owner Özgür prefers casual dating to serious relationships. Ezgi wants to get married, but she only ends up being used by men. Özgür agrees to give her dating tips so her next relationship with Serdar would work out.",4400.0,6.5,2020,457. Bay Yanlis
"Kevser grew up in a humble and poor neighborhood and after she becomes the bride of the son of the wealthy Kirimli family, her father cuts all ties with her as he does not approve of this marriage.",1600.0,6.4,2020–,458. Emanet
"The war of the Great Seljuk Emperor, Meliksah and her loyalist, Sencer against Hasan Sabbah, who is sworn to destroy the Seljuks.",4600.0,7.9,2020–2022,459. Uyanış: Büyük Selçuklu
"Battling with limited resources, a wonderful invention made by Taner, who dreams of one day reuniting with his childhood love Dilek, and his two cousins pave the way for an unforgettable turn of events.",1100.0,7.8,2020–,460. Gönül Dağı
"The series explores the life of Irfan, an idealistic professor who is upset by his unfair dismissal and is trying to care for his sick son. As the doors close one by one, Irfan finds himself in the middle of a dark adventure that he can't escape.",1500.0,7.2,2020,461. Babil
"The struggle of two women who are fighting today with what happened in the past. The fight between two women will be on the screen in the series. Furthermore, the concepts of love, betrayal, and motherhood will be present.",308.0,4.9,2020–2021,462. Akrep
"An ordinary girl moves into the apartment owned by a rich family, each of whom has serious psychological problems and obsessions. Will they be able to heal each other?",3200.0,7.8,2020–2022,463. Masumlar Apartmani
"Adam is an ex-special forces solider who is hired to work as a bodyguard for Yasmine, Timur's wife.",1500.0,7.2,2020,464. Yeni Hayat
"After her boyfriend, Serhat, announced dead, Zümrüt was forced to marry his uncle. This crucial decision will turn her life upside down.",584.0,4.2,2020–2021,465. Zümrüdüanka
"Mahir, who left his entire life behind and opened Ali Kaan Hope House, has ensured that every child who comes to his house from day one finds the right family. Blue, Mozi, Bambi and Zeynep, who share the same room in the House of Hope Ali Kaan, live on the way to finding their new families.",263.0,6.5,2020,466. Çocukluk
"Physics teacher Akif Erdem, the protagonist of the story, wants to give a lesson in humanity to his students. Only Akif Teacher uses a different teaching method than the teachers we know and are used to.",2100.0,7.7,2020,467. Öğretmen
"The Children of the Street tells the story of young people who have to achieve their own justice in a world where law is inadequate. ""What is justice?"", ""How does a teenager survive on the street?"" will answer questions like.",431.0,6.4,2020–,468. Sokagin Çocuklari
"The flames that changed all the lives they touch, the flowers sprouting from the ashes of a fire. The story of finding yourself, continuing on the road, seeking justice and true love",1400.0,6.9,2020–2021,469. Alev Alev
"The Red Room is set in a therapist office in Istanbul, where we see vulnerable women and men who pass through to get treatment and handle their traumas and problems.",2300.0,7.4,2020–2022,470. Kirmizi Oda
